HJD,HJD_Error,Note,BJD,Cycle_obs,Cycle_cal,O-C,OC_Error
2456200.429744 ,0.000100 ,AAVSO,2456200.430506 ,26209.996235 ,26210.000000 ,-0.000526 ,0.000100 
2456215.371812 ,0.000047 ,AAVSO,2456215.372575 ,26317.002488 ,26317.000000 ,0.000347 ,0.000047 
2456237.294573 ,0.000069 ,AAVSO,2456237.295336 ,26474.000335 ,26474.000000 ,0.000047 ,0.000069 
2456527.461371 ,0.000118 ,AAVSO,2456527.462142 ,28552.003311 ,28552.000000 ,0.000462 ,0.000118 
2456611.383379 ,0.000105 ,AAVSO,2456611.384153 ,29153.003093 ,29153.000000 ,0.000432 ,0.000105 
2456901.410306 ,0.000056 ,AAVSO,2456901.411090 ,31230.004396 ,31230.000000 ,0.000614 ,0.000056 
2456904.482443 ,0.000056 ,AAVSO,2456904.483227 ,31252.005224 ,31252.000000 ,0.000730 ,0.000056 
2457258.463274 ,0.000041 ,AAVSO,2457258.464081 ,33787.006560 ,33787.000000 ,0.000916 ,0.000041 
2457276.476171 ,0.000037 ,AAVSO,2457276.476978 ,33916.004273 ,33916.000000 ,0.000597 ,0.000037 
2457624.452673 ,0.000041 ,AAVSO,2457624.453488 ,36408.006156 ,36408.000000 ,0.000860 ,0.000041 
2457631.434574 ,0.000026 ,AAVSO,2457631.435389 ,36458.006401 ,36458.000000 ,0.000894 ,0.000026 
2458029.401298 ,0.000066 ,AAVSO,2458029.402126 ,39308.008685 ,39308.000000 ,0.001213 ,0.000066 
2458054.396613 ,0.000033 ,AAVSO,2458054.397440 ,39487.010346 ,39487.000000 ,0.001445 ,0.000033 
2458056.351342 ,0.000025 ,AAVSO,2458056.352169 ,39501.008959 ,39501.000000 ,0.001251 ,0.000025 
2458362.436187 ,0.000081 ,AAVSO,2458362.437009 ,41693.007573 ,41693.000000 ,0.001057 ,0.000081 
2458363.413508 ,0.000041 ,AAVSO,2458363.414330 ,41700.006568 ,41700.000000 ,0.000917 ,0.000041 
2458388.408481 ,0.000083 ,AAVSO,2458388.409303 ,41879.005780 ,41879.000000 ,0.000807 ,0.000083 
2458721.443108 ,0.000032 ,AAVSO,2458721.443919 ,44264.002792 ,44264.000000 ,0.000390 ,0.000032 
2458741.410640 ,0.000110 ,AAVSO,2458741.411450 ,44406.998445 ,44407.000000 ,-0.000217 ,0.000110 
2458759.424344 ,0.000030 ,AAVSO,2458759.425153 ,44536.001938 ,44536.000000 ,0.000271 ,0.000030 
2458773.387810 ,0.000056 ,AAVSO,2458773.388618 ,44636.000022 ,44636.000000 ,0.000003 ,0.000056 
2458906.322806 ,0.000233 ,AAVSO,2458906.323609 ,45588.001834 ,45588.000000 ,0.000256 ,0.000233 
2459105.444618 ,0.000043 ,AAVSO,2459105.445411 ,47013.994473 ,47014.000000 ,-0.000772 ,0.000043 
2459106.421588 ,0.000081 ,AAVSO,2459106.422381 ,47020.990954 ,47021.000000 ,-0.001263 ,0.000081 
2459107.399784 ,0.000037 ,AAVSO,2459107.400577 ,47027.996215 ,47028.000000 ,-0.000528 ,0.000037 
2459523.378836 ,0.000027 ,AAVSO,2459523.379610 ,50006.992138 ,50007.000000 ,-0.001098 ,0.000027 
2459526.311494 ,0.000026 ,AAVSO,2459526.312268 ,50027.994100 ,50028.000000 ,-0.000824 ,0.000026 
2459541.392839 ,0.000163 ,AAVSO,2459541.393612 ,50135.997772 ,50136.000000 ,-0.000311 ,0.000163 
2458727.726262 ,0.000048 ,AAVSO,2458727.727072 ,44308.999024 ,44309.000000 ,-0.000136 ,0.000048 
2456609.567755 ,0.000080 ,AAVSO,2456609.568529 ,29140.000668 ,29140.000000 ,0.000093 ,0.000080 
2456609.707754 ,0.000142 ,AAVSO,2456609.708528 ,29141.003258 ,29141.000000 ,0.000455 ,0.000142 
2456609.847323 ,0.000101 ,AAVSO,2456609.848097 ,29142.002769 ,29142.000000 ,0.000387 ,0.000101 
2456616.549943 ,0.000105 ,AAVSO,2456616.550717 ,29190.002969 ,29190.000000 ,0.000415 ,0.000105 
2456616.689703 ,0.000076 ,AAVSO,2456616.690477 ,29191.003847 ,29191.000000 ,0.000537 ,0.000076 
2456619.622035 ,0.000051 ,AAVSO,2456619.622809 ,29212.003475 ,29212.000000 ,0.000485 ,0.000051 
2456619.761443 ,0.000079 ,AAVSO,2456619.762217 ,29213.001832 ,29213.000000 ,0.000256 ,0.000079 
2456620.599302 ,0.000042 ,AAVSO,2456620.600076 ,29219.002083 ,29219.000000 ,0.000291 ,0.000042 
2456620.738676 ,0.000051 ,AAVSO,2456620.739450 ,29220.000197 ,29220.000000 ,0.000028 ,0.000051 
2456621.576969 ,0.000056 ,AAVSO,2456621.577743 ,29226.003556 ,29226.000000 ,0.000496 ,0.000056 
2456621.716688 ,0.000037 ,AAVSO,2456621.717462 ,29227.004140 ,29227.000000 ,0.000578 ,0.000037 
2458764.730415 ,0.000363 ,TESS,2458764.731224 ,44574.000880 ,44574.000000 ,0.000123 ,0.000363 
2458764.869698 ,0.000194 ,TESS,2458764.870507 ,44574.998343 ,44575.000000 ,-0.000231 ,0.000194 
2458765.010287 ,0.000173 ,TESS,2458765.011096 ,44576.005158 ,44576.000000 ,0.000720 ,0.000173 
2458765.149136 ,0.000143 ,TESS,2458765.149945 ,44576.999512 ,44577.000000 ,-0.000068 ,0.000143 
2458765.288834 ,0.000185 ,TESS,2458765.289643 ,44577.999947 ,44578.000000 ,-0.000007 ,0.000185 
2458765.428379 ,0.000196 ,TESS,2458765.429188 ,44578.999286 ,44579.000000 ,-0.000100 ,0.000196 
2458765.568301 ,0.000139 ,TESS,2458765.569110 ,44580.001324 ,44580.000000 ,0.000185 ,0.000139 
2458765.708652 ,0.000191 ,TESS,2458765.709461 ,44581.006435 ,44581.000000 ,0.000899 ,0.000191 
2458765.847653 ,0.000185 ,TESS,2458765.848462 ,44582.001878 ,44582.000000 ,0.000262 ,0.000185 
2458765.987778 ,0.000203 ,TESS,2458765.988587 ,44583.005370 ,44583.000000 ,0.000750 ,0.000203 
2458766.126279 ,0.000319 ,TESS,2458766.127088 ,44583.997233 ,44584.000000 ,-0.000386 ,0.000319 
2458766.265912 ,0.000222 ,TESS,2458766.266721 ,44584.997202 ,44585.000000 ,-0.000391 ,0.000222 
